mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,scale_to_model_max
ArN2,model,0.1,1,310.0050025012506,1.2271688625870817e-08,1.0
ArN2,model,0.1,1,310.2551275637819,1.9099233921970008e-08,1.0
ArN2,model,0.1,1,310.50525262631317,2.9593439170090906e-08,1.0
ArN2,model,0.1,1,310.7553776888444,4.565021224970123e-08,1.0
ArN2,model,0.1,1,311.0055027513757,7.010645929008752e-08,1.0
ArN2,model,0.1,1,311.2556278139069,1.0718675841004923e-07,1.0
ArN2,model,0.1,1,311.50575287643824,1.631518906629902e-07,1.0
ArN2,model,0.1,1,311.7558779389695,2.472355712805398e-07,1.0
ArN2,model,0.1,1,312.00600300150074,3.7299041426899096e-07,1.0
ArN2,model,0.1,1,312.256128064032,5.602118055315258e-07,1.0
ArN2,model,0.1,1,312.5062531265633,8.376733775470714e-07,1.0
ArN2,model,0.1,1,312.75637818909456,1.2469959425089567e-06,1.0
ArN2,model,0.1,1,313.0065032516258,1.8480905155544372e-06,1.0
ArN2,model,0.1,1,313.25662831415707,2.7267750198318914e-06,1.0
ArN2,model,0.1,1,313.5067533766883,4.0053755821599e-06,1.0
ArN2,model,0.1,1,313.75687843921963,5.857402331542226e-06,1.0
ArN2,model,0.1,1,314.0070035017509,8.527755422696595e-06,1.0
ArN2,model,0.1,1,314.25712856428214,1.2360393226564033e-05,1.0
ArN2,model,0.1,1,314.5072536268134,1.7836010082091256e-05,1.0
ArN2,model,0.1,1,314.75737868934465,2.5623060476396984e-05,1.0
ArN2,model,0.1,1,315.00750375187596,3.6646471476628736e-05,1.0
ArN2,model,0.1,1,315.2576288144072,5.217965442132408e-05,1.0
ArN2,model,0.1,1,315.50775387693847,7.396701673403978e-05,1.0
ArN2,model,0.1,1,315.7578789394697,0.00010438614949449161,1.0
ArN2,model,0.1,1,316.00800400200103,0.00014666129780285708,1.0
ArN2,model,0.1,1,316.2581290645323,0.0002051426872070261,1.0
ArN2,model,0.1,1,316.50825412706354,0.0002856698634403363,1.0
ArN2,model,0.1,1,316.7583791895948,0.00039604148920299113,1.0
ArN2,model,0.1,1,317.00850425212604,0.0005466191131890449,1.0
ArN2,model,0.1,1,317.25862931465736,0.0007510983574947308,1.0
ArN2,model,0.1,1,317.5087543771886,0.0010274878189437708,1.0
ArN2,model,0.1,1,317.75887943971986,0.0013993437817582384,1.0
ArN2,model,0.1,1,318.0090045022511,0.001897317590802767,1.0
ArN2,model,0.1,1,318.25912956478237,0.0025610821833334995,1.0
ArN2,model,0.1,1,318.5092546273137,0.003441714703454776,1.0
ArN2,model,0.1,1,318.75937968984493,0.004604623123987211,1.0
ArN2,model,0.1,1,319.0095047523762,0.0061331160688869665,1.0
ArN2,model,0.1,1,319.25962981490744,0.00813272613706208,1.0
ArN2,model,0.1,1,319.5097548774387,0.0107364074057316,1.0
ArN2,model,0.1,1,319.75987993997,0.014110736711081854,1.0
ArN2,model,0.1,1,320.01000500250126,0.018463254868601963,1.0
ArN2,model,0.1,1,320.2601300650325,0.024051087131590872,1.0
ArN2,model,0.1,1,320.51025512756377,0.031190980646530548,1.0
ArN2,model,0.1,1,320.760380190095,0.040270889041253116,1.0
ArN2,model,0.1,1,321.01050525262633,0.05176321903710549,1.0
ArN2,model,0.1,1,321.2606303151576,0.06623982948393368,1.0
ArN2,model,0.1,1,321.51075537768884,0.08438883782811442,1.0
ArN2,model,0.1,1,321.7608804402201,0.10703324115188453,1.0
ArN2,model,0.1,1,322.0110055027514,0.13515129714777352,1.0
ArN2,model,0.1,1,322.26113056528266,0.16989853358915147,1.0
ArN2,model,0.1,1,322.5112556278139,0.21263116234030557,1.0
ArN2,model,0.1,1,322.76138069034516,0.26493056562661066,1.0
ArN2,model,0.1,1,323.0115057528764,0.3286283988316312,1.0
ArN2,model,0.1,1,323.2616308154077,0.4058317171042175,1.0
ArN2,model,0.1,1,323.511755877939,0.4989473852277752,1.0
ArN2,model,0.1,1,323.76188094047023,0.6107048754173983,1.0
ArN2,model,0.1,1,324.0120060030015,0.7441764011545312,1.0
ArN2,model,0.1,1,324.26213106553274,0.9027931833621422,1.0
ArN2,model,0.1,1,324.51225612806405,1.0903565059721037,1.0
ArN2,model,0.1,1,324.7623811905953,1.3110421002183767,1.0
ArN2,model,0.1,1,325.01250625312656,1.5693963107320166,1.0
ArN2,model,0.1,1,325.2626313156578,1.8703224522653719,1.0
ArN2,model,0.1,1,325.5127563781891,2.2190557743852777,1.0
ArN2,model,0.1,1,325.7628814407204,2.621125523150639,1.0
ArN2,model,0.1,1,326.01300650325163,3.082302733079895,1.0
ArN2,model,0.1,1,326.2631315657829,3.6085326073988315,1.0
ArN2,model,0.1,1,326.51325662831414,4.205850655046518,1.0
ArN2,model,0.1,1,326.76338169084545,4.8802821514678065,1.0
ArN2,model,0.1,1,327.0135067533767,5.637724975291326,1.0
ArN2,model,0.1,1,327.26363181590796,6.483816438620247,1.0
ArN2,model,0.1,1,327.5137568784392,7.423785364007131,1.0
ArN2,model,0.1,1,327.76388194097046,8.462291350323122,1.0
ArN2,model,0.1,1,328.0140070035018,9.603253891600751,1.0
ArN2,model,0.1,1,328.264132066033,10.849674741686103,1.0
ArN2,model,0.1,1,328.5142571285643,12.20345762314005,1.0
ArN2,model,0.1,1,328.76438219109554,13.665230027971313,1.0
ArN2,model,0.1,1,329.0145072536268,15.234172415234687,1.0
ArN2,model,0.1,1,329.2646323161581,16.90786054056828,1.0
ArN2,model,0.1,1,329.51475737868935,18.68212692107261,1.0
ArN2,model,0.1,1,329.7648824412206,20.550947514547552,1.0
ArN2,model,0.1,1,330.01500750375186,22.506359549263728,1.0
ArN2,model,0.1,1,330.2651325662831,24.538416060743018,1.0
ArN2,model,0.1,1,330.5152576288144,26.63518206594836,1.0
ArN2,model,0.1,1,330.7653826913457,28.782776433849747,1.0
ArN2,model,0.1,1,331.01550775387693,30.96546240698883,1.0
ArN2,model,0.1,1,331.2656328164082,33.1657884157621,1.0
ArN2,model,0.1,1,331.5157578789395,35.36477934193494,1.0
ArN2,model,0.1,1,331.76588294147075,37.542176777527004,1.0
ArN2,model,0.1,1,332.016008004002,39.67672514646916,1.0
ArN2,model,0.1,1,332.26613306653326,41.74649887342122,1.0
ArN2,model,0.1,1,332.5162581290645,43.72926416582048,1.0
ArN2,model,0.1,1,332.7663831915958,45.6028674920362,1.0
ArN2,model,0.1,1,333.0165082541271,47.3456415591508,1.0
ArN2,model,0.1,1,333.26663331665833,48.93681858168879,1.0
ArN2,model,0.1,1,333.5167583791896,50.356939942051355,1.0
ArN2,model,0.1,1,333.7668834417209,51.58825101710812,1.0
ArN2,model,0.1,1,334.01700850425215,52.61507001125489,1.0
ArN2,model,0.1,1,334.2671335667834,53.42412010570962,1.0
ArN2,model,0.1,1,334.51725862931465,54.004815100521796,1.0
ArN2,model,0.1,1,334.7673836918459,54.34948996545729,1.0
ArN2,model,0.1,1,335.0175087543772,54.45356928701828,1.0
ArN2,model,0.1,1,335.26763381690847,54.31566844426195,1.0
ArN2,model,0.1,1,335.5177588794397,53.93762439559457,1.0
ArN2,model,0.1,1,335.767883941971,53.32445513234633,1.0
ArN2,model,0.1,1,336.01800900450223,52.48424906669825,1.0
ArN2,model,0.1,1,336.26813406703354,51.4279877836211,1.0
ArN2,model,0.1,1,336.5182591295648,50.16930761352383,1.0
ArN2,model,0.1,1,336.76838419209605,48.724207295459486,1.0
ArN2,model,0.1,1,337.0185092546273,47.110710531499656,1.0
ArN2,model,0.1,1,337.26863431715856,45.34849342617339,1.0
ArN2,model,0.1,1,337.51875937968987,43.458487621513264,1.0
ArN2,model,0.1,1,337.7688844422211,41.462470356442765,1.0
ArN2,model,0.1,1,338.0190095047524,39.382652695134624,1.0
ArN2,model,0.1,1,338.26913456728363,37.241276796350604,1.0
ArN2,model,0.1,1,338.5192596298149,35.06023236463265,1.0
ArN2,model,0.1,1,338.7693846923462,32.86070137885521,1.0
ArN2,model,0.1,1,339.01950975487745,30.662838889755296,1.0
ArN2,model,0.1,1,339.2696348174087,28.485496179587223,1.0
ArN2,model,0.1,1,339.51975987993995,26.34599095277199,1.0
ArN2,model,0.1,1,339.7698849424712,24.259927546207425,1.0
ArN2,model,0.1,1,340.0200100050025,22.24106847960049,1.0
ArN2,model,0.1,1,340.2701350675338,20.301257072232925,1.0
ArN2,model,0.1,1,340.520260130065,18.450389387596744,1.0
ArN2,model,0.1,1,340.7703851925963,16.696432476095914,1.0
ArN2,model,0.1,1,341.0205102551276,15.045484801919342,1.0
ArN2,model,0.1,1,341.27063531765884,13.50187388485346,1.0
ArN2,model,0.1,1,341.5207603801901,12.068285570790714,1.0
ArN2,model,0.1,1,341.77088544272135,10.745918964370038,1.0
ArN2,model,0.1,1,342.02101050525266,9.53466090168165,1.0
ArN2,model,0.1,1,342.2711355677839,8.433273889952494,1.0
ArN2,model,0.1,1,342.52126063031517,7.439591667516015,1.0
ArN2,model,0.1,1,342.7713856928464,6.550716909558871,1.0
ArN2,model,0.1,1,343.0215107553777,5.7632160889699895,1.0
ArN2,model,0.1,1,343.271635817909,5.073307062573246,1.0
ArN2,model,0.1,1,343.52176088044024,4.4770355579547525,1.0
ArN2,model,0.1,1,343.7718859429715,3.9704373549174865,1.0
ArN2,model,0.1,1,344.02201100550275,3.5496835625561394,1.0
ArN2,model,0.1,1,344.272136068034,3.2112069675069455,1.0
ArN2,model,0.1,1,344.5222611305653,2.951807956382417,1.0
ArN2,model,0.1,1,344.77238619309657,2.7687389869591588,1.0
ArN2,model,0.1,1,345.0225112556278,2.6597669953372636,1.0
ArN2,model,0.1,1,345.2726363181591,2.6232134822685875,1.0
ArN2,model,0.1,1,345.5227613806903,2.6579723278505103,1.0
ArN2,model,0.1,1,345.77288644322164,2.763505649976501,1.0
ArN2,model,0.1,1,346.0230115057529,2.9398182608052914,1.0
ArN2,model,0.1,1,346.27313656828414,3.187411500628747,1.0
ArN2,model,0.1,1,346.5232616308154,3.5072174532782956,1.0
ArN2,model,0.1,1,346.77338669334665,3.9005147836271266,1.0
ArN2,model,0.1,1,347.02351175587796,4.368827695342077,1.0
ArN2,model,0.1,1,347.2736368184092,4.913809791909795,1.0
ArN2,model,0.1,1,347.52376188094047,5.537114938040365,1.0
ArN2,model,0.1,1,347.7738869434717,6.240257559120644,1.0
ArN2,model,0.1,1,348.024012006003,7.024465175919075,1.0
ArN2,model,0.1,1,348.2741370685343,7.890526337955989,1.0
ArN2,model,0.1,1,348.52426213106554,8.838637475290211,1.0
ArN2,model,0.1,1,348.7743871935968,9.868252514801508,1.0
ArN2,model,0.1,1,349.02451225612805,10.97793938065182,1.0
ArN2,model,0.1,1,349.2746373186593,12.165247695498033,1.0
ArN2,model,0.1,1,349.5247623811906,13.426592095290639,1.0
ArN2,model,0.1,1,349.77488744372187,14.757155543930294,1.0
ArN2,model,0.1,1,350.0250125062531,16.150816865734715,1.0
ArN2,model,0.1,1,350.2751375687844,17.600106389441947,1.0
ArN2,model,0.1,1,350.5252626313157,19.09619310945161,1.0
ArN2,model,0.1,1,350.77538769384694,20.628906117562032,1.0
ArN2,model,0.1,1,351.0255127563782,22.186792249210928,1.0
ArN2,model,0.1,1,351.27563781890944,23.757210938275733,1.0
ArN2,model,0.1,1,351.52576288144076,25.326466208542268,1.0
ArN2,model,0.1,1,351.775887943972,26.879974580586094,1.0
ArN2,model,0.1,1,352.02601300650326,28.402466479616745,1.0
ArN2,model,0.1,1,352.2761380690345,29.878217537721174,1.0
ArN2,model,0.1,1,352.52626313156577,31.291305041381133,1.0
ArN2,model,0.1,1,352.7763881940971,32.62588373172856,1.0
ArN2,model,0.1,1,353.02651325662833,33.86647426916975,1.0
ArN2,model,0.1,1,353.2766383191596,34.99825697035466,1.0
ArN2,model,0.1,1,353.52676338169084,36.007362952314324,1.0
ArN2,model,0.1,1,353.7768884442221,36.881154605793824,1.0
ArN2,model,0.1,1,354.0270135067534,37.608487386740464,1.0
ArN2,model,0.1,1,354.27713856928466,38.17994526917819,1.0
ArN2,model,0.1,1,354.5272636318159,38.58804283925923,1.0
ArN2,model,0.1,1,354.77738869434717,38.8273879112813,1.0
ArN2,model,0.1,1,355.0275137568784,38.894799681813566,1.0
ArN2,model,0.1,1,355.27763881940973,38.78937876660001,1.0
ArN2,model,0.1,1,355.527763881941,38.51252693621133,1.0
ArN2,model,0.1,1,355.77788894447224,38.067915923178944,1.0
ArN2,model,0.1,1,356.0280140070035,37.46140625409218,1.0
ArN2,model,0.1,1,356.27813906953475,36.70091860219756,1.0
ArN2,model,0.1,1,356.52826413206606,35.796261598588266,1.0
ArN2,model,0.1,1,356.7783891945973,34.75892132707798,1.0
ArN2,model,0.1,1,357.02851425712856,33.60181881072754,1.0
ArN2,model,0.1,1,357.2786393196598,32.33904263786462,1.0
ArN2,model,0.1,1,357.52876438219107,30.98556444478577,1.0
ArN2,model,0.1,1,357.7788894447224,29.556945256146207,1.0
ArN2,model,0.1,1,358.02901450725363,28.069040680125873,1.0
ArN2,model,0.1,1,358.2791395697849,26.537712674178266,1.0
ArN2,model,0.1,1,358.52926463231614,24.978555060542178,1.0
ArN2,model,0.1,1,358.77938969484745,23.406639210796875,1.0
ArN2,model,0.1,1,359.0295147573787,21.836285375881953,1.0
ArN2,model,0.1,1,359.27963981990996,20.28086405826734,1.0
ArN2,model,0.1,1,359.5297648824412,18.752630655886644,1.0
ArN2,model,0.1,1,359.77988994497247,17.262595403338853,1.0
ArN2,model,0.1,1,360.0300150075038,15.820429443543313,1.0
ArN2,model,0.1,1,360.28014007003503,14.43440672749689,1.0
ArN2,model,0.1,1,360.5302651325663,13.111380400446299,1.0
ArN2,model,0.1,1,360.78039019509754,11.85679142205057,1.0
ArN2,model,0.1,1,361.03051525762885,10.674706410290652,1.0
ArN2,model,0.1,1,361.2806403201601,9.567881109892479,1.0
ArN2,model,0.1,1,361.53076538269136,8.537845473180568,1.0
ArN2,model,0.1,1,361.7808904452226,7.58500610385004,1.0
ArN2,model,0.1,1,362.03101550775386,6.708761744027544,1.0
ArN2,model,0.1,1,362.2811405702852,5.9076275678995955,1.0
ArN2,model,0.1,1,362.5312656328164,5.17936426181325,1.0
ArN2,model,0.1,1,362.7813906953477,4.5211081982457,1.0
ArN2,model,0.1,1,363.03151575787894,3.9294994244015564,1.0
ArN2,model,0.1,1,363.2816408204102,3.400804659622639,1.0
ArN2,model,0.1,1,363.5317658829415,2.931033003996152,1.0
ArN2,model,0.1,1,363.78189094547275,2.5160425797505015,1.0
ArN2,model,0.1,1,364.032016008004,2.1516368359034987,1.0
ArN2,model,0.1,1,364.28214107053526,1.8336497269205743,1.0
ArN2,model,0.1,1,364.5322661330665,1.5580194130595033,1.0
ArN2,model,0.1,1,364.7823911955978,1.3208505125379841,1.0
ArN2,model,0.1,1,365.0325162581291,1.1184652562266768,1.0
ArN2,model,0.1,1,365.28264132066033,0.9474441503193426,1.0
ArN2,model,0.1,1,365.5327663831916,0.8046569406327898,1.0
ArN2,model,0.1,1,365.78289144572284,0.6872847958903812,1.0
ArN2,model,0.1,1,366.03301650825415,0.592834690930252,1.0
ArN2,model,0.1,1,366.2831415707854,0.5191469804652158,1.0
ArN2,model,0.1,1,366.53326663331666,0.4643971173748212,1.0
ArN2,model,0.1,1,366.7833916958479,0.42709239499384305,1.0
ArN2,model,0.1,1,367.03351675837916,0.4060644894125081,1.0
ArN2,model,0.1,1,367.2836418209105,0.4004584544805334,1.0
ArN2,model,0.1,1,367.53376688344173,0.4097186878751506,1.0
ArN2,model,0.1,1,367.783891945973,0.43357224968396435,1.0
ArN2,model,0.1,1,368.0340170085043,0.4720097832619496,1.0
ArN2,model,0.1,1,368.2841420710355,0.5252641686529534,1.0
ArN2,model,0.1,1,368.5342671335668,0.593786937713199,1.0
ArN2,model,0.1,1,368.78439219609805,0.6782224023187776,1.0
ArN2,model,0.1,1,369.0345172586293,0.779379396675203,1.0
ArN2,model,0.1,1,369.2846423211606,0.8982005145994382,1.0
ArN2,model,0.1,1,369.5347673836919,1.035728734319287,1.0
ArN2,model,0.1,1,369.7848924462231,1.1930713671486253,1.0
ArN2,model,0.1,1,370.0350175087544,1.3713613413398804,1.0
ArN2,model,0.1,1,370.28514257128563,1.5717159361249808,1.0
ArN2,model,0.1,1,370.53526763381694,1.7951932097063763,1.0
ArN2,model,0.1,1,370.7853926963482,2.0427465137047363,1.0
ArN2,model,0.1,1,371.03551775887945,2.3151776490189175,1.0
ArN2,model,0.1,1,371.2856428214107,2.6130893868012977,1.0
ArN2,model,0.1,1,371.53576788394196,2.9368382449899655,1.0
ArN2,model,0.1,1,371.78589294647327,3.2864885665976815,1.0
ArN2,model,0.1,1,372.0360180090045,3.6617690814498123,1.0
ArN2,model,0.1,1,372.2861430715358,4.0620332390608604,1.0
ArN2,model,0.1,1,372.53626813406703,4.486224668094687,1.0
ArN2,model,0.1,1,372.7863931965983,4.932849139585354,1.0
ArN2,model,0.1,1,373.0365182591296,5.399954380416095,1.0
ArN2,model,0.1,1,373.28664332166085,5.885118995953098,1.0
ArN2,model,0.1,1,373.5367683841921,6.385451613953906,1.0
ArN2,model,0.1,1,373.78689344672335,6.897601156236885,1.0
ArN2,model,0.1,1,374.0370185092546,7.417778883250788,1.0
ArN2,model,0.1,1,374.2871435717859,7.941792545630234,1.0
ArN2,model,0.1,1,374.5372686343172,8.465092624927417,1.0
ArN2,model,0.1,1,374.7873936968484,8.982830264451675,1.0
ArN2,model,0.1,1,375.0375187593797,9.48992609424437,1.0
ArN2,model,0.1,1,375.28764382191093,9.981148757135134,1.0
ArN2,model,0.1,1,375.53776888444224,10.451201562077651,1.0
ArN2,model,0.1,1,375.7878939469735,10.894815343397592,1.0
ArN2,model,0.1,1,376.03801900950475,11.306845306534129,1.0
ArN2,model,0.1,1,376.288144072036,11.682369407292066,1.0
ArN2,model,0.1,1,376.53826913456726,12.016785655368539,1.0
ArN2,model,0.1,1,376.78839419709857,12.305905663863086,1.0
ArN2,model,0.1,1,377.0385192596298,12.546041791002837,1.0
ArN2,model,0.1,1,377.2886443221611,12.734085340801231,1.0
ArN2,model,0.1,1,377.5387693846924,12.86757350396308,1.0
ArN2,model,0.1,1,377.7888944472236,12.94474302292982,1.0
ArN2,model,0.1,1,378.0390195097549,12.964568945303196,1.0
ArN2,model,0.1,1,378.28914457228615,12.926787274109582,1.0
ArN2,model,0.1,1,378.5392696348174,12.831900814530696,1.0
ArN2,model,0.1,1,378.7893946973487,12.681168035617956,1.0
ArN2,model,0.1,1,379.03951975987997,12.47657529158023,1.0
ArN2,model,0.1,1,379.2896448224112,12.220793259579015,1.0
ArN2,model,0.1,1,379.5397698849425,11.917118929345296,1.0
ArN2,model,0.1,1,379.7898949474737,11.569404905742928,1.0
ArN2,model,0.1,1,380.04002001000504,11.18197814257156,1.0
ArN2,model,0.1,1,380.2901450725363,10.75955050161237,1.0
ArN2,model,0.1,1,380.54027013506754,10.307123716176307,1.0
ArN2,model,0.1,1,380.7903951975988,9.829891428396829,1.0
ArN2,model,0.1,1,381.04052026013005,9.333140963662888,1.0
ArN2,model,0.1,1,381.29064532266136,8.82215740755873,1.0
ArN2,model,0.1,1,381.5407703851926,8.302132367948746,1.0
ArN2,model,0.1,1,381.79089544772387,7.778079548254637,1.0
ArN2,model,0.1,1,382.0410205102551,7.254758941049825,1.0
ArN2,model,0.1,1,382.2911455727864,6.73661108926709,1.0
ArN2,model,0.1,1,382.5412706353177,6.227702472119209,1.0
ArN2,model,0.1,1,382.79139569784894,5.7316826710325675,1.0
ArN2,model,0.1,1,383.0415207603802,5.2517535737043355,1.0
ArN2,model,0.1,1,383.29164582291145,4.790650496757461,1.0
ArN2,model,0.1,1,383.5417708854427,4.3506347624106665,1.0
ArN2,model,0.1,1,383.791895947974,3.9334969627970136,1.0
ArN2,model,0.1,1,384.04202101050527,3.5405698950468887,1.0
ArN2,model,0.1,1,384.2921460730365,3.172749956171155,1.0
ArN2,model,0.1,1,384.5422711355678,2.8305256514858055,1.0
ArN2,model,0.1,1,384.792396198099,2.5140117934562043,1.0
ArN2,model,0.1,1,385.04252126063034,2.2229879466585056,1.0
ArN2,model,0.1,1,385.2926463231616,1.9569397042354177,1.0
ArN2,model,0.1,1,385.54277138569284,1.7151014553242443,1.0
ArN2,model,0.1,1,385.7928964482241,1.4964994138618883,1.0
ArN2,model,0.1,1,386.04302151075535,1.2999938186310782,1.0
ArN2,model,0.1,1,386.29314657328666,1.1243193738960633,1.0
ArN2,model,0.1,1,386.5432716358179,0.9681231711436035,1.0
ArN2,model,0.1,1,386.79339669834917,0.8299995074968347,1.0
ArN2,model,0.1,1,387.0435217608805,0.7085211883250315,1.0
ArN2,model,0.1,1,387.2936468234117,0.6022670644667018,1.0
ArN2,model,0.1,1,387.543771885943,0.5098457035107931,1.0
ArN2,model,0.1,1,387.79389694847424,0.4299152261333713,1.0
ArN2,model,0.1,1,388.0440220110055,0.36119945014116833,1.0
ArN2,model,0.1,1,388.2941470735368,0.30250057533412106,1.0
ArN2,model,0.1,1,388.54427213606806,0.25270871125770344,1.0
ArN2,model,0.1,1,388.7943971985993,0.21080859793167234,1.0
ArN2,model,0.1,1,389.04452226113057,0.17588389795723824,1.0
ArN2,model,0.1,1,389.2946473236618,0.14711944878312186,1.0
ArN2,model,0.1,1,389.54477238619313,0.12380185847268828,1.0
ArN2,model,0.1,1,389.7948974487244,0.10531880937983985,1.0
ArN2,model,0.1,1,390.04502251125564,0.09115740410432938,1.0
ArN2,model,0.1,1,390.2951475737869,0.08090184931671439,1.0
ArN2,model,0.1,1,390.54527263631815,0.07423072776360591,1.0
ArN2,model,0.1,1,390.79539769884946,0.07091405906447378,1.0
ArN2,model,0.1,1,391.0455227613807,0.07081029767705488,1.0
ArN2,model,0.1,1,391.29564782391196,0.07386336332690756,1.0
ArN2,model,0.1,1,391.5457728864432,0.08009974677012281,1.0
ArN2,model,0.1,1,391.79589794897447,0.08962568332947982,1.0
ArN2,model,0.1,1,392.0460230115058,0.10262433943015441,1.0
ArN2,model,0.1,1,392.29614807403703,0.11935291448660872,1.0
ArN2,model,0.1,1,392.5462731365683,0.14013952302301408,1.0
ArN2,model,0.1,1,392.79639819909954,0.16537969087414328,1.0
ArN2,model,0.1,1,393.0465232616308,0.1955322757165033,1.0
ArN2,model,0.1,1,393.2966483241621,0.23111460699619318,1.0
ArN2,model,0.1,1,393.54677338669336,0.27269663447914355,1.0
ArN2,model,0.1,1,393.7968984492246,0.3208938789961202,1.0
ArN2,model,0.1,1,394.04702351175587,0.3763589941981496,1.0
ArN2,model,0.1,1,394.2971485742871,0.4397717747890169,1.0
ArN2,model,0.1,1,394.54727363681843,0.5118274849960751,1.0
ArN2,model,0.1,1,394.7973986993497,0.5932234308655637,1.0
ArN2,model,0.1,1,395.04752376188094,0.6846437607844605,1.0
ArN2,model,0.1,1,395.2976488244122,0.7867425494039606,1.0
ArN2,model,0.1,1,395.54777388694345,0.9001252992968802,1.0
ArN2,model,0.1,1,395.79789894947476,1.0253290800751225,1.0
ArN2,model,0.1,1,396.048024012006,1.1628016136110677,1.0
ArN2,model,0.1,1,396.29814907453726,1.3128797032029682,1.0
ArN2,model,0.1,1,396.5482741370686,1.4757674902932238,1.0
ArN2,model,0.1,1,396.7983991995998,1.6515151006450075,1.0
ArN2,model,0.1,1,397.0485242621311,1.8399983084639102,1.0
ArN2,model,0.1,1,397.29864932466234,2.040899897567517,1.0
ArN2,model,0.1,1,397.5487743871936,2.25369342931644,1.0
ArN2,model,0.1,1,397.7988994497249,2.477630134011023,1.0
ArN2,model,0.1,1,398.04902451225615,2.711729622890133,1.0
ArN2,model,0.1,1,398.2991495747874,2.954775069697544,1.0
ArN2,model,0.1,1,398.54927463731866,3.205313433056968,1.0
ArN2,model,0.1,1,398.7993996998499,3.4616611839422213,1.0
ArN2,model,0.1,1,399.0495247623812,3.7219158680307194,1.0
ArN2,model,0.1,1,399.2996498249125,3.9839736738053495,1.0
ArN2,model,0.1,1,399.54977488744373,4.245552998433441,1.0
ArN2,model,0.1,1,399.799899949975,4.504223810497867,1.0
ArN2,model,0.1,1,400.05002501250624,4.757442408495879,1.0
ArN2,model,0.1,1,400.30015007503755,5.002590974393926,1.0
ArN2,model,0.1,1,400.5502751375688,5.237021130695723,1.0
ArN2,model,0.1,1,400.80040020010006,5.45810053584089,1.0
ArN2,model,0.1,1,401.0505252626313,5.66326140441827,1.0
ArN2,model,0.1,1,401.30065032516256,5.850049723081708,1.0
ArN2,model,0.1,1,401.5507753876939,6.0161738565102345,1.0
ArN2,model,0.1,1,401.80090045022513,6.159551205113345,1.0
ArN2,model,0.1,1,402.0510255127564,6.278351590518746,1.0
ArN2,model,0.1,1,402.30115057528764,6.371036107267071,1.0
